RANK,Country,Region,Happiness score,Dystopia Residual,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption)
1,Finland,Western Europe,7.82100,2.51800,1.89200,1.25800,0.77500,0.73600,0.10900,0.53400
2,Denmark,Western Europe,7.63600,2.22600,1.95300,1.24300,0.77700,0.71900,0.18800,0.53200
3,Iceland,Western Europe,7.55700,2.32000,1.93600,1.32000,0.80300,0.71800,0.27000,0.19100
4,Switzerland,Western Europe,7.51200,2.15300,2.02600,1.22600,0.82200,0.67700,0.14700,0.46100
5,Netherlands,Western Europe,7.41500,2.13700,1.94500,1.20600,0.78700,0.65100,0.27100,0.41900
6,Luxembourg*,Western Europe,7.40400,2.04200,2.20900,1.15500,0.79000,0.70000,0.12000,0.38800
7,Sweden,Western Europe,7.38400,2.00300,1.92000,1.20400,0.80300,0.72400,0.21800,0.51200
8,Norway,Western Europe,7.36500,1.92500,1.99700,1.23900,0.78600,0.72800,0.21700,0.47400
9,Israel,Middle East and North Africa,7.36400,2.63400,1.82600,1.22100,0.81800,0.56800,0.15500,0.14300
10,New Zealand,North America and ANZ,7.20000,1.95400,1.85200,1.23500,0.75200,0.68000,0.24500,0.48300
11,Austria,Western Europe,7.16300,2.14800,1.93100,1.16500,0.77400,0.62300,0.19300,0.32900
12,Australia,North America and ANZ,7.16200,2.01100,1.90000,1.20300,0.77200,0.67600,0.25800,0.34100
13,Ireland,Western Europe,7.04100,1.74300,2.12900,1.16600,0.77900,0.62700,0.19000,0.40800
14,Germany,Western Europe,7.03400,2.14200,1.92400,1.08800,0.77600,0.58500,0.16300,0.35800
15,Canada,North America and ANZ,7.02500,1.92400,1.88600,1.18800,0.78300,0.65900,0.21700,0.36800
16,United States,North America and ANZ,6.97700,2.21400,1.98200,1.18200,0.62800,0.57400,0.22000,0.17700
17,United Kingdom,Western Europe,6.94300,1.96700,1.86700,1.14300,0.75000,0.59700,0.28900,0.32900
18,Czechia,Central and Eastern Europe,6.92000,2.26300,1.81500,1.26000,0.71500,0.66000,0.15800,0.04800
19,Belgium,Western Europe,6.80500,2.28300,1.90700,1.10600,0.76400,0.49200,0.04900,0.20400
20,France,Western Europe,6.68700,1.89500,1.86300,1.21900,0.80800,0.56700,0.07000,0.26600
21,Bahrain,Middle East and North Africa,6.64700,2.09200,1.85400,1.02900,0.62500,0.69300,0.19900,0.15500
22,Slovenia,Central and Eastern Europe,6.63000,1.88500,1.81000,1.24900,0.76900,0.68500,0.11800,0.11500
23,Costa Rica,Latin America and Caribbean,6.58200,2.34600,1.58400,1.05400,0.74400,0.66100,0.08900,0.10200
24,United Arab Emirates,Middle East and North Africa,6.57600,1.80900,1.99800,0.98000,0.63300,0.70200,0.20400,0.25000
25,Saudi Arabia,Middle East and North Africa,6.52300,2.07500,1.87000,1.09200,0.57700,0.65100,0.07800,0.18000
26,Taiwan Province of China,East Asia,6.51200,2.00200,1.89700,1.09500,0.73300,0.54200,0.07500,0.16800
27,Singapore,Southeast Asia,6.48000,0.93200,2.14900,1.12700,0.85100,0.67200,0.16300,0.58700
28,Romania,Central and Eastern Europe,6.47700,2.44600,1.71900,1.00600,0.65500,0.60500,0.03900,0.00600
29,Spain,Western Europe,6.47600,1.89300,1.80800,1.21100,0.80800,0.50500,0.10100,0.14900
30,Uruguay,Latin America and Caribbean,6.47400,1.97400,1.61500,1.18000,0.67200,0.66500,0.10300,0.26500
31,Italy,Western Europe,6.46700,2.22200,1.83400,1.05200,0.80100,0.41200,0.08500,0.05900
32,Kosovo,Central and Eastern Europe,6.45500,2.63100,1.36200,0.94900,0.56900,0.59900,0.30900,0.03500
33,Malta,Western Europe,6.44700,1.63100,1.83800,1.16900,0.78900,0.67900,0.17400,0.16600
34,Lithuania,Central and Eastern Europe,6.44600,2.15300,1.80400,1.20400,0.65900,0.49600,0.05300,0.07700
35,Slovakia,Central and Eastern Europe,6.39100,2.09400,1.73600,1.23200,0.70700,0.47900,0.11800,0.02500
36,Estonia,Central and Eastern Europe,6.34100,1.44200,1.79300,1.23200,0.72800,0.68900,0.12300,0.33300
37,Panama,Latin America and Caribbean,6.30900,2.08600,1.71500,1.10700,0.70900,0.59200,0.04900,0.05100
38,Brazil,Latin America and Caribbean,6.29300,2.36100,1.46200,1.04400,0.61500,0.54600,0.13100,0.13400
39,Guatemala*,Latin America and Caribbean,6.26200,2.74600,1.27400,0.83100,0.52200,0.66200,0.11200,0.11500
40,Kazakhstan,Commonwealth of Independent States,6.23400,1.86000,1.66800,1.22000,0.61100,0.58400,0.13400,0.15700
41,Cyprus,Western Europe,6.22100,2.04400,1.81500,0.90900,0.81900,0.44800,0.12300,0.06200
42,Latvia,Central and Eastern Europe,6.18000,1.92300,1.73200,1.22100,0.63700,0.50200,0.07500,0.09000
43,Serbia,Central and Eastern Europe,6.17800,2.03100,1.55000,1.08600,0.65800,0.54600,0.21900,0.08800
44,Chile,Latin America and Caribbean,6.17200,2.04000,1.65100,1.08000,0.74800,0.46000,0.12400,0.06900
45,Nicaragua,Latin America and Caribbean,6.16500,2.41800,1.10500,1.02900,0.61700,0.61700,0.16800,0.21200
46,Mexico,Latin America and Caribbean,6.12800,2.23900,1.55200,0.88600,0.62300,0.62100,0.09200,0.11500
47,Croatia,Central and Eastern Europe,6.12500,1.88400,1.70500,1.18300,0.70900,0.53500,0.10900,0.00000
48,Poland,Central and Eastern Europe,6.12300,1.69300,1.75800,1.17400,0.71200,0.52300,0.12400,0.14000
49,El Salvador,Latin America and Caribbean,6.12000,2.51400,1.26500,0.76800,0.60700,0.66600,0.08900,0.21200
50,Kuwait*,Middle East and North Africa,6.10600,1.62100,1.90400,0.98300,0.74700,0.61700,0.08700,0.14700
51,Hungary,Central and Eastern Europe,6.08600,1.81200,1.74800,1.23300,0.66800,0.48500,0.07800,0.06400
52,Mauritius,Sub-Saharan Africa,6.07100,1.96900,1.59100,1.11600,0.56800,0.58900,0.13100,0.10700
53,Uzbekistan,Commonwealth of Independent States,6.06300,1.91300,1.21900,1.09200,0.60000,0.71600,0.28300,0.24000
54,Japan,East Asia,6.03900,1.48700,1.83500,1.08900,0.86600,0.53700,0.00700,0.21800
55,Honduras,Latin America and Caribbean,6.02200,2.61100,1.11100,0.88500,0.55500,0.58200,0.20200,0.07600
56,Portugal,Western Europe,6.01600,1.69100,1.76000,1.07800,0.77700,0.65500,0.01600,0.03900
57,Argentina,Latin America and Caribbean,5.96700,1.89100,1.59200,1.10200,0.66200,0.55500,0.08100,0.08500
58,Greece,Western Europe,5.94800,2.11900,1.70300,0.98000,0.77400,0.24900,0.01500,0.10800
59,South Korea,East Asia,5.93500,1.65600,1.85100,0.88600,0.84100,0.41400,0.11100,0.17600
60,Philippines,Southeast Asia,5.90400,2.28300,1.26800,0.91200,0.51400,0.67800,0.10700,0.14200
61,Thailand,Southeast Asia,5.89100,1.60000,1.53500,1.09600,0.69700,0.61700,0.32100,0.02600
62,Moldova,Commonwealth of Independent States,5.85700,2.14200,1.41700,1.00800,0.59700,0.56100,0.10200,0.02800
63,Jamaica,Latin America and Caribbean,5.85000,2.16400,1.29600,1.04500,0.64600,0.56700,0.08000,0.05300
64,Kyrgyzstan,Commonwealth of Independent States,5.82800,2.08700,1.06900,1.10900,0.63800,0.69300,0.20800,0.02500
65,Belarus*,Commonwealth of Independent States,5.82100,1.81100,1.56200,1.15700,0.62900,0.34200,0.04000,0.28200
66,Colombia,Latin America and Caribbean,5.78100,1.97100,1.45200,0.92900,0.72000,0.54500,0.08700,0.07700
67,Bosnia and Herzegovina,Central and Eastern Europe,5.76800,1.86900,1.46800,1.06800,0.66500,0.44800,0.24400,0.00600
68,Mongolia,East Asia,5.76100,1.99900,1.39300,1.19700,0.46700,0.39800,0.24700,0.05900
69,Dominican Republic,Latin America and Caribbean,5.73700,1.75100,1.53800,1.00300,0.57700,0.60600,0.08400,0.17900
70,Malaysia,Southeast Asia,5.71100,1.47100,1.68900,0.93800,0.62000,0.65400,0.21300,0.12600
71,Bolivia,Latin America and Caribbean,5.60000,2.10700,1.25600,0.88000,0.55500,0.62700,0.11200,0.06400
72,China,East Asia,5.58500,1.51600,1.50800,0.95800,0.70500,0.65600,0.09900,0.14200
73,Paraguay,Latin America and Caribbean,5.57800,1.55500,1.40900,1.13000,0.62400,0.62900,0.17100,0.05900
74,Peru,Latin America and Caribbean,5.55900,1.89000,1.39700,0.86500,0.73500,0.54500,0.09000,0.03700
75,Montenegro,Central and Eastern Europe,5.54700,1.61900,1.57300,1.02300,0.65900,0.46000,0.13500,0.07700
76,Ecuador,Latin America and Caribbean,5.53300,1.86600,1.35200,0.87900,0.70800,0.56500,0.08000,0.08300
77,Vietnam,Southeast Asia,5.48500,1.73500,1.25200,0.93200,0.61100,0.70700,0.14300,0.10500
78,Turkmenistan*,Commonwealth of Independent States,5.47400,1.16000,1.48400,1.31900,0.51600,0.64900,0.31400,0.03200
79,North Cyprus*,Western Europe,5.46700,1.07800,1.81500,0.88800,0.81900,0.52300,0.13000,0.21300
80,Russia,Commonwealth of Independent States,5.45900,1.49400,1.68500,1.09500,0.58600,0.40100,0.11700,0.08000
81,Hong Kong S.A.R. of China,East Asia,5.42500,0.64200,1.95700,0.95400,0.94200,0.40000,0.14700,0.38300
82,Armenia,Commonwealth of Independent States,5.39900,1.65400,1.43400,0.82000,0.66800,0.55800,0.05400,0.21000
83,Tajikistan,Commonwealth of Independent States,5.37700,1.89500,0.96600,1.00500,0.51800,0.57200,0.11800,0.30400
84,Nepal,South Asia,5.37700,2.22400,0.98400,0.78400,0.49900,0.51900,0.23700,0.13000
85,Bulgaria,Central and Eastern Europe,5.37100,1.23500,1.62500,1.16300,0.64000,0.56300,0.12300,0.02100
86,Libya*,Middle East and North Africa,5.33000,1.54400,1.47600,0.94300,0.60600,0.47700,0.10600,0.17900
87,Indonesia,Southeast Asia,5.24000,1.30000,1.38200,0.88300,0.53900,0.62000,0.46800,0.04700
88,Ivory Coast,Sub-Saharan Africa,5.23500,2.65200,1.09400,0.44200,0.32200,0.45100,0.14900,0.12400
